generation,loss_actor_avg,loss_actor_min,loss_actor_max,loss_critic_avg,loss_critic_min,loss_critic_max,loss_diffusion_avg,loss_diffusion_min,loss_diffusion_max,loss_dispersive_avg,loss_dispersive_min,loss_dispersive_max,adv_weight_std_avg,adv_weight_std_min,adv_weight_std_max,raw_adv_mean_avg,raw_adv_mean_min,raw_adv_mean_max,raw_adv_pos_frac_avg,raw_adv_pos_frac_min,raw_adv_pos_frac_max,actor_grad_norm_avg,actor_grad_norm_min,actor_grad_norm_max,critic_grad_norm_avg,critic_grad_norm_min,critic_grad_norm_max,approx_kl_avg,approx_kl_min,approx_kl_max,actor_skips_avg,actor_skips_min,actor_skips_max,clipfrac_avg,clipfrac_min,clipfrac_max,actor_early_stops_avg,actor_early_stops_min,actor_early_stops_max,collisions_avg,collisions_min,collisions_max,reward_avg,reward_min,reward_max,avg_speed_avg,avg_speed_min,avg_speed_max,dist_per_collision_avg,dist_per_collision_min,dist_per_collision_max,laps_per_collision_avg,laps_per_collision_min,laps_per_collision_max,speed_ratio_avg,speed_ratio_min,speed_ratio_max,progress_score_avg,progress_score_min,progress_score_max,action_velocity_mean_avg,action_velocity_mean_min,action_velocity_mean_max,action_velocity_min_avg,action_velocity_min_min,action_velocity_min_max,action_steer_abs_mean_avg,action_steer_abs_mean_min,action_steer_abs_mean_max,focus_map,map_type,difficulty,raceline_length,map_dpc_ema,progress_per_step,checkpoint_per_step,wall_col_per_step,agent_col_per_step,lap_per_step,steer_rate_per_step,steer_abs_per_step,speed_bonus_per_step
1,0.012569654267281294,-0.16110758483409882,0.180184468626976,0.8782612048089504,0.7404418587684631,1.0234814882278442,0.09371422557160258,0.06888317316770554,0.12241823971271515,-1.096904568374157,-1.0981844663619995,-1.0929311513900757,0.16863536508753896,0.0,0.22101619839668274,1.7202378511428833,1.485230803489685,1.9842500686645508,0.94768226146698,0.9105212092399597,0.9830725193023682,25.60792624950409,12.373455047607422,34.55855178833008,2.9813829138875008,1.4727298021316528,4.365333080291748,0.13591650174930692,0.0,0.18589967489242554,0.0,0.0,0.0,0.151573000010103,0.0,0.23205500841140747,0.0,0.0,0.0,5.0,5.0,5.0,0.09130994659961662,0.09130994659961662,0.09130994659961662,6.6569318771362305,6.320735454559326,7.32208776473999,74.20004272460938,74.20004272460938,74.20004272460938,0.18908228874206542,0.18908228874206542,0.18908228874206542,0.8639726042747498,0.8639726042747498,0.8639726042747498,0.16336191742671247,0.16336191742671247,0.16336191742671247,8.018539428710938,8.018539428710938,8.018539428710938,3.0838382244110107,3.0838382244110107,3.0838382244110107,0.06356228142976761,0.06356228142976761,0.06356228142976761,Zandvoort,real,1.1289627462586858,464.65523539642516,74.32781401207126,0.08240584502264027,0.003555555555555555,-0.007111111111111111,-0.0003555555555555555,0.0,-0.009170793612798052,0.0,0.021986006300885572
2,-0.026887936517596245,-0.25649556517601013,0.1288282722234726,0.5666742864996195,0.368419885635376,0.7712838053703308,0.10352836176753044,0.08572108298540115,0.1266675889492035,-1.0974484160542488,-1.0982252359390259,-1.0960363149642944,0.0593426488339901,0.0,0.09355015307664871,1.7319047451019287,1.3964639902114868,2.251936197280884,0.9235910177230835,0.8847641944885254,0.9567360877990723,27.844048261642456,9.35141372680664,59.16362762451172,1.9673102423548698,1.0762933492660522,3.3578855991363525,0.047860502265393734,0.0,0.07607047259807587,0.0,0.0,0.0,0.0728044374845922,0.0,0.09498530626296997,0.0,0.0,0.0,7.0,7.0,7.0,0.09309590973394055,0.09309590973394055,0.09309590973394055,7.606090307235718,6.629112243652344,8.04177474975586,60.79901123046875,60.79901123046875,60.79901123046875,0.1421405587877546,0.1421405587877546,0.1421405587877546,0.997359573841095,0.997359573841095,0.997359573841095,0.14176524713809005,0.14176524713809005,0.14176524713809005,9.103848457336426,9.103848457336426,9.103848457336426,3.538262367248535,3.538262367248535,3.538262367248535,0.06396374106407166,0.06396374106407166,0.06396374106407166,Zandvoort,real,1.1289627462586858,464.65523539642516,70.29873869248975,0.08618417492769995,0.004444444444444444,-0.015111111111111115,0.0,0.0,-0.009680285596847535,0.0,0.02725868706975469
3,-0.03711749613285065,-0.2706349790096283,0.42797422409057617,0.2711562439799309,0.1252724677324295,0.6183257699012756,0.09124948596581817,0.07160205394029617,0.1257534623146057,-1.095540039241314,-1.0982513427734375,-1.0923868417739868,0.0527111345436424,0.0,0.09930267184972763,0.8381434082984924,-1.0512785911560059,1.831104040145874,0.8352851420640945,0.7604172825813293,0.9082037210464478,31.729898542165756,5.416635990142822,111.8141860961914,0.8275803737342358,0.43523186445236206,1.377376675605774,0.0414799100253731,0.0,0.07689167559146881,0.0,0.0,0.0,0.06908041029237211,0.0,0.09648457169532776,0.0,0.0,0.0,12.0,12.0,12.0,0.045211517158221394,0.045211517158221394,0.045211517158221394,6.765892148017883,5.768075466156006,7.762258529663086,31.284189860026043,31.284189860026043,31.284189860026043,0.0741036335627238,0.0741036335627238,0.0741036335627238,0.8766160607337952,0.8766160607337952,0.8766160607337952,0.06496043533981559,0.06496043533981559,0.06496043533981559,9.066153526306152,9.066153526306152,9.066153526306152,3.252425193786621,3.252425193786621,3.252425193786621,0.06399065256118774,0.06399065256118774,0.06399065256118774,Zandvoort,real,1.3265856448292062,446.2014503219724,58.60959536050115,0.07788634257244847,0.004266666666666665,-0.0497777777777778,-0.0017777777777777779,0.0,-0.00849548651244906,0.0,0.023109549987110924
4,-0.028636068105697632,-0.20060506463050842,0.1388627588748932,0.5946984812617302,0.41498634219169617,0.7795308828353882,0.08393052499741316,0.06750061362981796,0.10114762932062149,-1.0954629853367805,-1.098078727722168,-1.0903956890106201,0.05260532954707742,0.0,0.08628441393375397,1.823070228099823,1.4949527978897095,2.1707444190979004,0.9141425788402557,0.8964822292327881,0.956379771232605,37.32290530204773,20.31818962097168,79.45654296875,2.141826018691063,1.4285088777542114,2.8776514530181885,0.04333533626049757,0.0,0.06893457472324371,0.0,0.0,0.0,0.07084173173643649,0.0,0.09505226463079453,0.0,0.0,0.0,7.0,7.0,7.0,0.10015446893812259,0.10015446893812259,0.10015446893812259,7.646300673484802,6.402341365814209,8.527937889099121,60.78981236049107,60.78981236049107,60.78981236049107,0.14597882543291366,0.14597882543291366,0.14597882543291366,0.9966082572937012,0.9966082572937012,0.9966082572937012,0.1454837028164775,0.1454837028164775,0.1454837028164775,9.324470520019531,9.324470520019531,9.324470520019531,3.7641870975494385,3.7641870975494385,3.7641870975494385,0.05370974540710449,0.05370974540710449,0.05370974540710449,Zandvoort,real,1.2687642524396212,433.5325101410255,59.29449297833965,0.08960706564938076,0.004444444444444443,-0.014222222222222225,-0.00017777777777777776,0.0,-0.007967048985428273,0.0,0.02847000782972588
5,0.003722733585163951,-0.28047558665275574,0.33360978960990906,0.6570309344679117,0.48476874828338623,0.9030558466911316,0.09260286437347531,0.06847329437732697,0.11426552385091782,-1.0950946658849716,-1.097964882850647,-1.089409589767456,0.03820235573220998,0.0,0.06659942120313644,1.8175770342350006,1.2348251342773438,2.3236031532287598,0.9235259890556335,0.8711895942687988,0.9440106153488159,39.55759400129318,14.568954467773438,104.69571685791016,2.6328753754496574,1.120303988456726,5.391380786895752,0.031238816329278052,0.0,0.048390116542577744,0.0,0.0,0.0,0.06145467655733228,0.0,0.07747405022382736,0.0,0.0,0.0,5.0,5.0,5.0,0.10389847429631825,0.10389847429631825,0.10389847429631825,7.586391568183899,6.8050007820129395,8.950489044189453,86.1579833984375,86.1579833984375,86.1579833984375,0.20366373062133789,0.20366373062133789,0.20366373062133789,1.0189471244812012,1.0189471244812012,1.0189471244812012,0.2075225726777262,0.2075225726777262,0.2075225726777262,9.396591186523438,9.396591186523438,9.396591186523438,3.9444727897644043,3.9444727897644043,3.9444727897644043,0.04698801040649414,0.04698801040649414,0.04698801040649414,Zandvoort,real,1.3265856448292062,446.2014503219724,67.4062502764103,0.08910697113485055,0.004088888888888888,-0.010666666666666666,-0.0003555555555555555,0.0,-0.008127532088756564,0.0,0.02985236858355787
6,0.008648559916764498,-0.2688179314136505,0.38591790199279785,0.25434567080810666,0.07645922154188156,0.43041956424713135,0.0938259600661695,0.07443324476480484,0.12008638679981232,-1.0960325449705124,-1.097044825553894,-1.0947034358978271,0.06503593683009967,0.0,0.11148162931203842,0.588576789945364,-0.7789143919944763,1.6247382164001465,0.8469651639461517,0.6912485361099243,0.9518218636512756,29.740184992551804,7.025904178619385,104.82676696777344,0.8980494700372219,0.6690312027931213,1.367873191833496,0.04851645545568317,0.0,0.07866767048835754,0.0,0.0,0.0,0.07096573361195624,0.0,0.1020834818482399,0.0,0.0,0.0,7.0,7.0,7.0,0.05067117419220884,0.05067117419220884,0.05067117419220884,6.088720321655273,5.349086761474609,7.072955131530762,49.475599016462056,49.475599016462056,49.475599016462056,0.11882850953510829,0.11882850953510829,0.11882850953510829,0.8274776339530945,0.8274776339530945,0.8274776339530945,0.09832793391628414,0.09832793391628414,0.09832793391628414,8.296061515808105,8.296061515808105,8.296061515808105,4.171195030212402,4.171195030212402,4.171195030212402,0.07512564957141876,0.07512564957141876,0.07512564957141876,Zandvoort,real,1.2687642524396212,433.5325101410255,62.06060804998705,0.07270739076148813,0.004266666666666666,-0.03555555555555554,-0.002666666666666666,0.0,-0.008155740071667573,0.0,0.02007507905794395
7,-0.007424713112413883,-0.29052045941352844,0.1662597358226776,0.28067168965935707,0.1809678077697754,0.43105068802833557,0.08696977142244577,0.06654806435108185,0.10789385437965393,-1.0963720828294754,-1.098022699356079,-1.093903660774231,0.04704077960923314,0.0,0.06699200719594955,1.0863359421491623,0.6167471408843994,1.9011794328689575,0.8773039877414703,0.7767954468727112,0.9680984616279602,41.69839632511139,11.012128829956055,137.8104705810547,1.1919134072959423,0.6288358569145203,1.9296302795410156,0.03774622094351798,0.0,0.05076686292886734,0.0,0.0,0.0,0.06699603330343962,0.0,0.0800393670797348,0.0,0.0,0.0,8.0,8.0,8.0,0.07178644825580555,0.07178644825580555,0.07178644825580555,6.355606913566589,5.945105075836182,7.317391872406006,44.95417404174805,44.95417404174805,44.95417404174805,0.11485452950000763,0.11485452950000763,0.11485452950000763,0.8557962775230408,0.8557962775230408,0.8557962775230408,0.0982920788027668,0.0982920788027668,0.0982920788027668,8.16100025177002,8.16100025177002,8.16100025177002,3.731818675994873,3.731818675994873,3.731818675994873,0.07692775130271912,0.07692775130271912,0.07692775130271912,Zandvoort,real,1.1289627462586858,464.65523539642516,56.95336595911184,0.08060061494741058,0.0033777777777777773,-0.024888888888888884,0.0,0.0,-0.008139048382971024,0.0,0.020835992802477086
8,-0.029850408085621893,-0.13448652625083923,0.11532022058963776,0.25543162412941456,0.164603129029274,0.34421512484550476,0.09500178694725037,0.06958993524312973,0.12117551267147064,-1.097310021519661,-1.0980943441390991,-1.0957409143447876,0.04688556562177837,0.0,0.10093358159065247,1.0640378594398499,0.6232407093048096,1.3856701850891113,0.8663661926984787,0.8242173790931702,0.8971335887908936,36.94062066078186,12.480612754821777,83.38021850585938,1.383151512593031,0.7547566890716553,1.9703313112258911,0.036163754062727094,0.0,0.07108999043703079,0.0,0.0,0.0,0.06380835454910994,0.0,0.08684909343719482,0.0,0.0,0.0,10.0,10.0,10.0,0.06995645773301694,0.06995645773301694,0.06995645773301694,6.353529095649719,5.64561653137207,6.8787665367126465,35.47962646484375,35.47962646484375,35.47962646484375,0.09358109831809998,0.09358109831809998,0.09358109831809998,0.8593050241470337,0.8593050241470337,0.8593050241470337,0.08041470794994084,0.08041470794994084,0.08041470794994084,8.29457950592041,8.29457950592041,8.29457950592041,3.8589155673980713,3.8589155673980713,3.8589155673980713,0.0728660374879837,0.0728660374879837,0.0728660374879837,Zandvoort,real,1.5624239684105201,334.33199339910186,50.52983829282781,0.08194020743604304,0.004977777777777778,-0.029333333333333322,-0.00017777777777777776,0.0,-0.00822349736028247,0.0,0.020773080990589617
9,-0.03636761847883463,-0.21417397260665894,0.13885889947414398,0.29782660584896803,0.20632246136665344,0.3776717483997345,0.0891941450536251,0.07030405104160309,0.10994652658700943,-1.0968320742249489,-1.0980452299118042,-1.0956940650939941,0.054892151965759695,0.0,0.09097833931446075,1.3606306463479996,0.9261615872383118,1.8075878620147705,0.8865808993577957,0.8391916751861572,0.9420570135116577,31.672051668167114,11.98045539855957,84.5936279296875,1.8389786519110203,0.7227739095687866,3.376020669937134,0.0429767839377746,0.0,0.07838008552789688,0.0,0.0,0.0,0.06950027984566987,0.0,0.09205741435289383,0.0,0.0,0.0,6.0,6.0,6.0,0.08395137399726957,0.08395137399726957,0.08395137399726957,6.358646869659424,5.706709861755371,6.911745071411133,59.133880615234375,59.133880615234375,59.133880615234375,0.16490123669306436,0.16490123669306436,0.16490123669306436,0.8421189188957214,0.8421189188957214,0.8421189188957214,0.13886645116853083,0.13886645116853083,0.13886645116853083,8.002555847167969,8.002555847167969,8.002555847167969,4.059510707855225,4.059510707855225,4.059510707855225,0.06903725862503052,0.06903725862503052,0.06903725862503052,Zandvoort,real,1.2318540542356802,350.84915510365585,53.14798149901404,0.08686401091082505,0.004444444444444443,-0.01777777777777778,-0.0012444444444444443,0.0,-0.008229596659872263,0.0,0.019894737524094104
10,-0.07593560039822478,-0.6646361351013184,0.32044675946235657,0.3583264360204339,0.161604106426239,0.6867424845695496,0.08394057163968682,0.05589918792247772,0.12026267498731613,-1.0933059304952621,-1.096955418586731,-1.0894614458084106,0.05214141891337931,0.0,0.07637698948383331,1.7583724558353424,1.0532258749008179,2.844369888305664,0.9038603156805038,0.7805963158607483,0.9832841753959656,45.34421068429947,12.434028625488281,120.16094207763672,2.9302928671240807,0.6605912446975708,8.068290710449219,0.04386520781554282,0.0,0.06650181114673615,0.0,0.0,0.0,0.07075166096910834,0.0,0.0879056379199028,0.0,0.0,0.0,9.0,9.0,9.0,0.09853374910306069,0.09853374910306069,0.09853374910306069,7.063268542289734,5.804123878479004,9.952245712280273,42.479451497395836,42.479451497395836,42.479451497395836,0.10930189821455213,0.10930189821455213,0.10930189821455213,0.881244957447052,0.881244957447052,0.881244957447052,0.096321746640965,0.096321746640965,0.096321746640965,8.283528327941895,8.283528327941895,8.283528327941895,4.346441268920898,4.346441268920898,4.346441268920898,0.053022850304841995,0.053022850304841995,0.053022850304841995,Zandvoort,real,0.7665720022450786,439.167547923801,49.97240103005869,0.08777772762478846,0.004444444444444443,-0.010666666666666666,-0.00017777777777777776,0.0,-0.007504155747095744,0.0,0.024660177225367695
